Name	Resource Type	Domain	Site Code	Client	Approved	Assigned	Blocked	Client Type	Obsolete	Active	
XLWUL-490W8T	System	AREA52	XLW	No	Approved	Yes	No				
TYNDS2XWKMNH03	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493Z6K	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022D35	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-43206L	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-493ZGD	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-3614MQ	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-03286D	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-03287T	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-520H1X	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-121NC8	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022DM1	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-022D3W	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-0209D0	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-032873	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-451STL	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-032878	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-373F79	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-037WCF	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-03285N	System	AREA52	XLW	No	Approved	Yes	No				
XLWUW-431YX4	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-037UZN	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-491MRY	System	AREA52	XLW	No	Approved	Yes	No				
XLWUL-032816	System	AREA52	XLW	No	Approved	Yes	No				
